PID,Failure_Type,Failure_Source,User,Voice_Assistant,Context,Failure_freq,Survey,age,gender,Native_English,accent,adjust_speech,repeat_speech,race,device,device_write_in,Frequency
7,Response,Action execution: incorrect,"Voice Assistant, directions to the nearest post office.","The nearest post office, here you go.","I was trying to find the post office near me. I knew there was one within 4 miles, but it kept directing me to one a couple of cities away.",About half the time I use it,,55-64,Woman,Yes,No,About half the time I use it,About half the time I use it,White,"Mobile phone,Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,2-3 times a week
8,Understanding,Ambiguity,"Voice Assistant, how old is Johnny Walker?",Johnny Walker was founded in 1865.,"It clearly thought I was asking about the whiskey company. I was at home, alone, watching the UFC and asked how old a fighter was.",Sometimes when I use it,y,25-34,Man,Yes,Yes,Sometimes,Sometimes,White,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
8,Response,Action execution: incorrect,"Voice Assistant, when does the Taco Bell on Glenwood close.",Taco Bell is open until 1am.,"The response was, in fact, a lie. I drove all the way there and it closed at 11:30pm. I was at home, in my living room, alone.  I was trying to find out how long taco bell was open.",Sometimes when I use it,Y,25-34,Man,Yes,Yes,Sometimes,Sometimes,White,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
9,Understanding,Misunderstanding,"Voice Assistant, when was the band Brand New founded?","""Brand New's album Science Fiction was released in 2017."" [While correct, it was not answering your question.]","I asked for a year when a band was founded, but because of the band's name, I got a related but incorrect answer. I was with another adult, I don't think it was particularly noisy. Probably backrgound TV noise or maybe child chatter.",Rarely when I use it,y,25-34,Woman,Yes,No,Rarely,Sometimes,White,"Mobile phone,Other:",Tablet,2-3 times a week
9,Response,Action execution: incorrect,I asked a mathematical question; like what is 100+8.,"Rather than giving a direct answer, it responded with ""here's what I found on the internet"" and provided a list of links.","I asked a simple question, but the agent responded with a list of links instead of a factual short answer.",About half the time I use it,,25-34,Woman,Yes,No,Rarely,Sometimes,White,"Mobile phone,Other:",Tablet,2-3 times a week
9,Response,Action execution: incorrect,"Voice Assistant, what was the cause of the Civil War?","The agent read something from the internet that was very biased/slanted, I assume maybe the first search result or perhaps a comment on an article. It didn't give a factual retelling.","I had asked a somewhat nuanced question, and I assume the agent searched the internet and read the first response, which happened to be inaccurate. I expected to get web results.",Rarely when I use it,y,25-34,Woman,Yes,No,Rarely,Sometimes,White,"Mobile phone,Other:",Tablet,2-3 times a week
9,Understanding,Ambiguity,"""What will the temperature be tonight?""","The agent responded with the temperature in another location than mine; probably the last location searched of my friend in Georgia, and not mine in IL.",I asked what the weather was going to be like.,Rarely when I use it,y,25-34,Woman,Yes,No,Rarely,Sometimes,White,"Mobile phone,Other:",Tablet,2-3 times a week
10,Response,Action execution: no action,"Voice Assistant, turn on my room lamp.","""OK.""  but then it didnt do it.",Trying to get my lamp in my room turned on. I had to repeat myself three times before it worked.,Rarely when I use it,,45-54,Man,Yes,No,Rarely,Sometimes,White,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
11,Understanding,Misunderstanding,"Voice Assistant, please add Waldorf to my list.","Okay, I have added ""on"" to your list",I was trying to add something to a list.,Rarely when I use it,,45-54,Man,Yes,No,Sometimes,Sometimes,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
11,Understanding,Misunderstanding,"Voice Assistant, turn on the office light.",Is the office in the bedroom?,I sometimes have to struggle to get smart bulbs recognized. I like to call them lights instead of bulbs and it seems to be a problem occasionally.,Rarely when I use it,,45-54,Man,Yes,No,Sometimes,Sometimes,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
12,Understanding,No understanding,"Voice Assistant, pay my credit card bill.","Sorry, I don't know that",i was sitting in the couch in my living room to ask Voice Assistant to pay my credit card bill,Sometimes when I use it,,55-64,Woman,No,Yes,Sometimes,About half the time I use it,Asian,"Mobile phone,Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,4-6 times a week
12,Understanding,No understanding,"Voice Assistant, pay my electricity bills.","Sorry, I didn't know that.",I told the Voice Assistant to pay my electricity bills.,Sometimes when I use it,,55-64,Woman,No,Yes,Sometimes,About half the time I use it,Asian,"Mobile phone,Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,4-6 times a week
13,Response,Action execution: no action,"Voice Assistant, open YouTube.",She said the TV wasn't allowing her to do it. ,I asked her to open Youtube on my TV. I was in my bedroom with no other noise. ,Sometimes when I use it,,35-44,Woman,Yes,No,Sometimes,About half the time I use it,White,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
13,Perception,Noisy channel,"Voice Assistant, play ""Her Little Man"" by Jami Grooms.",She turned on the tv and tried to find a movie called little man.,I was trying to ask her to play a song. The TV was on and my young kids were in the room talking.,About half the time I use it,,35-44,Woman,Yes,No,Sometimes,About half the time I use it,White,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
13,Attention,Spurious Trigger,"Nothing, I wasn't talking to her.",She said she didn't know the command. ,"I was trying to talk to my daughter. Her name is sort of close to the voice assistant's activation phrase, and so I had to change the name of the voice assistant's activation phrase because it kept happening.",Sometimes when I use it,,35-44,Woman,Yes,No,Sometimes,About half the time I use it,White,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
14,Understanding,No understanding,"Voice Assistant, what's the name of this town?","Sorry, I don't know how to answer that.","I was trying to question related to some area, but couldn't get an answer.",Sometimes when I use it,,25-34,Man,Yes,Maybe,Sometimes,Sometimes,Asian,"Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,4-6 times a week
14,Understanding,Ambiguity,I asked it to play a song.,"It responded with another song, with the same name.","May be the sorrounding voice of the environment makes it misunderstood the command, my family were present at the moment, when it happend.",Rarely when I use it,,25-34,Man,Yes,Maybe,Sometimes,Sometimes,Asian,"Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,4-6 times a week
15,Response,Action execution: no action,"Voice Assistant, fast-forward the video for 10 seconds.","[The lights blink, and it goes silent.]",,Sometimes when I use it,,35-44,Woman,Yes,Yes,Rarely,Sometimes,Asian,"Mobile phone,Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
15,Attention,Missed Trigger,Voice Assistant go to YouTube.,[Nothing happens],Sometimes similar type of sounds will make the Voice Assistant confused.,Rarely when I use it,,35-44,Woman,Yes,Yes,Rarely,Sometimes,Asian,"Mobile phone,Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
15,Understanding,Ambiguity,"Voice Assistant, call home.",It went to home screen of my cell phone.,,Sometimes when I use it,,35-44,Woman,Yes,Yes,Rarely,Sometimes,Asian,"Mobile phone,Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
16,Response,Action execution: no action,Hey Voice Assistant call Nong Sky,"Voice Assistant said something like ""Sorry I can't call Nong Sky at this time""",Was trying to use Voice Assistant to make a phone call to a friend,Rarely when I use it,,35-44,Man,Yes,Maybe,Rarely,Sometimes,White,Mobile phone,,Daily
17,Understanding,Misunderstanding,"Voice Assistant, play songs by Taylor Swift.",It showed the wiki page of Taylor Swift.,"I was trying to play music, there were no others present.",Sometimes when I use it,,25-34,Woman,Yes,Maybe,Sometimes,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
18,Response,Action execution: no action,"Voice Assistant, play Justin Bieber.","It did not respond for some time, and it said please try again later.",It may have been my mobile distance or internet connection.,Sometimes when I use it,,25-34,Man,Yes,Maybe,About half the time I use it,Sometimes,White,"Mobile phone,Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,4-6 times a week
18,Understanding,Ambiguity,"Voice Assistant, what is the temperature now?",The temperature is 98.5 F.,"I asked its room temparture, but it gave me the outside temperature. It may be my voice cannot be understood by assistant.",Rarely when I use it,,25-34,Man,Yes,Maybe,About half the time I use it,Sometimes,White,"Mobile phone,Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,4-6 times a week
19,Understanding,Misunderstanding,I tried to give the alarm a title and it wasn't getting it right,"It kept giving it a title, but using an incorrect word",I was trying to tell it to set an alarm,Rarely when I use it,,#N/A,,,,,,,,,
20,Understanding,No understanding,"Voice Assistant, play Tyler Childers","She said something along of the lines ""Sorry, I didn't understand the question""",We asked her to play a certain song and it said it didn't understand the question,Sometimes when I use it,,25-34,Man,Yes,Maybe,Rarely,Rarely,White,"Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,4-6 times a week
20,Attention,Spurious Trigger,I don't think I said anything,It just made a noise like it was activated,It just popped up without being prompted while we were watching tv,Rarely when I use it,y,25-34,Man,Yes,Maybe,Rarely,Rarely,White,"Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,4-6 times a week
21,Understanding,Misunderstanding,"Voice Assistant, please play Mindforce.",It kept on playing a playlist that I never heard of had nothing to do what I asked it to play., I asked to play a certain music group.,Rarely when I use it,,35-44,Man,Yes,No,Sometimes,Rarely,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
21,Response,Action execution: incorrect,"Voice Assistant, show me the best way to get to Greenville County courthouse.",It gave me directions to the county next to ours.,I asked for directions,Rarely when I use it,,35-44,Man,Yes,No,Sometimes,Rarely,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
21,Understanding,No understanding,"Voice Assistant, what does 'an asshole' mean?","I'm sorry, I don't understand.",I asked it if knew a certain swear word.,Rarely when I use it,y,35-44,Man,Yes,No,Sometimes,Rarely,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
22,Understanding,Misunderstanding,"Voice Assistant, call Amir.",The voice Assistant searches for Amir Khan and starts saying his biography.,In my mobile phone i was trying to call someone with Voice Assistant but it didn't recognize it and started telling me about Amir Khan.,Sometimes when I use it,,25-34,Man,No,Maybe,Sometimes,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
22,Understanding,Misunderstanding,"Voice Assistant, call Salman.",Voice Assistant assistant searched his name and told me the biography of Salman Khan.,I said call someone and the Voice Assistant started telling me a similarly named celebrity's biography.,Sometimes when I use it,,25-34,Man,No,Maybe,Sometimes,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
23,Understanding,Misunderstanding,"Voice Assistant, play Ek Pal Ka Jeena.","It responded by showing the online search results for ""Ek Pal Ka Jeena"".","I wanted to play the video song from my mobile's internal storage, but it showed me search results for the song. I was alone and the environment was quiet.",Most of the time I use it,,Prefer not to answer,Prefer not to answer,No,Maybe,Sometimes,Sometimes,Asian,Mobile phone,,2-3 times a week
23,Perception,Transcription,"Voice Assistant, play Main Khiladi Tu Anari.","I searched for NTR, but couldn’t find it.",I was trying to ask the Assistant to play a song. I was alone at that time and the environment was relatively quiet. ,Sometimes when I use it,,Prefer not to answer,Prefer not to answer,No,Maybe,Sometimes,Sometimes,Asian,Mobile phone,,2-3 times a week
23,Perception,Overcapture,"Hey Voice Assistant, call Sanjay.","The lights/colored dots were blinking, but nothing happened.","I wanted to call my sibling, but it stayed on the listening page (it showed that dots that suggests that it is listening, but it was not responding). I was with my family, but the environment was quiet.",Rarely when I use it,,Prefer not to answer,Prefer not to answer,No,Maybe,Sometimes,Sometimes,Asian,Mobile phone,,2-3 times a week
23,Understanding,Ambiguity,"Voice Assistant, play Pretty Woman.",It played some other song with the same title.,"I wanted to play the ""Pretty Woman"" song from a specific artist, but it played some other Pretty Woman song. I was alone and the environment was quiet.",Sometimes when I use it,y,Prefer not to answer,Prefer not to answer,No,Maybe,Sometimes,Sometimes,Asian,Mobile phone,,2-3 times a week
24,Understanding,Ambiguity,"Voice Assistant, I need the phone number for Chase Bank on Eighth Street.",The voice assistant gave me the 800 number instead of the local number.,I was trying to get a phone number. The environment was quiet. There was no one present.,Rarely when I use it,,55-64,Woman,Yes,No,Rarely,Rarely,White,Mobile phone,,Once a week
24,Understanding,Misunderstanding,"Voice Assistant, Is there a Chinese restaurant that delivers food near here?","The voice assistant's response was, ""Sure. Here are some recipes.""",I was trying to find a Chinese restaurant near me that delivers. The environment was quiet. There was no one with me.,Rarely when I use it,,55-64,Woman,Yes,No,Rarely,Rarely,White,Mobile phone,,Once a week
24,Response,Action execution: no action,"Voice Assistant, are busses running normally today?","[The voice assistant indicates that it is listening, does not give a response, and resturns to the search screen.]",I was trying to find out if buses were running normally that day. I was using my phone.,Rarely when I use it,y,55-64,Woman,Yes,No,Rarely,Rarely,White,Mobile phone,,Once a week
25,Understanding,Ambiguity,Play 'Cringe' by Alkaline Trio from the album Goddamnit.,"It continually would only play a live version of the song from a newer live album they had recorded.  No matter what I said to vary the request, I could not get the assistant to play the correct studio version.",I was in my room trying to tell the assistant on my Voice Assistant Home to play a song I wanted to hear.,Sometimes when I use it,y,#N/A,,,,,,,,,
26,Attention,Spurious Trigger,N/A,"Sorry, I don't know that.",A couple friends and I were hanging out just talking.,Rarely when I use it,,25-34,Woman,Yes,No,Sometimes,Sometimes,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
26,Understanding,Misunderstanding,"Voice Assistant, what time does the Hobo Johnson concert for Warehouse Live?",Voice Assistant kept telling me a premier for a series on TV that had nothing to do with the concert.,I was trying to get opening time for a specific concert.,Sometimes when I use it,y,25-34,Woman,Yes,No,Sometimes,Sometimes,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
27,Understanding,No understanding,"Voice Assistant, could you play rock music","Sorry, I don't understand.",,Sometimes when I use it,,45-54,Man,No,Maybe,Sometimes,Sometimes,Asian,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,4-6 times a week
28,Understanding,Ambiguity,"Voice Assistant, when does the sun set?","It showed me the sunset time in Iowa, but I wasn't in Iowa.",I was just getting in the car outside a somewhat busy parking lot.,Rarely when I use it,,25-34,Man,Yes,No,Rarely,Rarely,White,Mobile phone,,Daily
29,Response,Action execution: no action,"Voice Assistant, go to insta.",Voice Assistant turned on and off,I was in transit.,Sometimes when I use it,,35-44,Woman,Yes,Maybe,Rarely,Rarely,Asian,"Mobile phone,Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
29,Understanding,Misunderstanding,"Voice Assistant, go to contact list.",It made a call to the 1st contact in the list.,"I try to message to anyone, it will go over to make a call.",Rarely when I use it,,35-44,Woman,Yes,Maybe,Rarely,Rarely,Asian,"Mobile phone,Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
30,Understanding,Misunderstanding,"Voice Assistant, give me the forecast for [location].",It gave me a forecast for the wrong location.,,Rarely when I use it,,25-34,Man,Yes,No,Rarely,Rarely,White,Mobile phone,,Once a week
31,Attention,Missed Trigger,"Voice Assistant, can you set a timer for 4 hours?",[No response],I wanted to set a timer because I was cooking something on a crockpot.,Sometimes when I use it,,35-44,Woman,Yes,No,Most of the time I use it,About half the time I use it,"White,Hispanic, Latino, or Spanish origin",Mobile phone,,Daily
31,Understanding,Ambiguity,"Voice Assistant, can you give me directions to the closest Starbucks.","She didnt respond, but she showed several locations on mobile.",I asked for directions while I was driving alone.,Most of the time I use it,,35-44,Woman,Yes,No,Most of the time I use it,About half the time I use it,"White,Hispanic, Latino, or Spanish origin",Mobile phone,,Daily
32,Understanding,Misunderstanding,"Voice Assistant, turn the heat to 70.",I don't have a device or group named heat.,Trying to turn the heat on from the air conditioning. I had a television on very low but no other people present.,Sometimes when I use it,,45-54,Woman,Yes,Yes,Sometimes,Sometimes,White,"Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
32,Attention,Spurious Trigger,I did not ask the device to do anything but the blue bar (used to show when it is listening appeared). When it started speaking I asked it to stop. the song.,The device said okay here is the song you requested (it named the song but I was not familiar with the song or artist) and started playing,I was not trying to interact with the device but was talking with my adult daughter and husband present.,Rarely when I use it,,45-54,Woman,Yes,Yes,Sometimes,Sometimes,White,"Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
32,Understanding,Misunderstanding,"Voice Assistant, what was the score for the Cowboys game today?","It gave a response about what cowboys were, rather than the sports score.",I asked for the scores for a football game that had happened earlier in the day that I had missed.,Rarely when I use it,,45-54,Woman,Yes,Yes,Sometimes,Sometimes,White,"Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
33,Understanding,Ambiguity,"Voice Assistant, tell me about Robot (a movie)","OK, here's some information about robots.",Some noise from television could have confused the Voice Assistant.,Rarely when I use it,,35-44,Woman,No,Maybe,Sometimes,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,2-3 times a week
34,Attention,Spurious Trigger,"I can't remember what I was saying to my friend, but I wasn't trying to get Voice Assistant's attention - but Voice Assistant kept butting in and acting like I had said Voice Assistant's name.",Voice Assistant asked what I wanted it to find for me.,"I was alone in my house, talking on the phone to a friend. No other people were around and there was no other ambient sound.",About half the time I use it,,45-54,Woman,Yes,No,Rarely,Sometimes,White,"Mobile phone,Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
34,Understanding,Misunderstanding,"Voice Assistant, give me sight seeing recommendations in California.",Voice Assistant gave me a list of a bunch of convenience stores in the area instead of good sight seeing destinations.,"I was trying to find good vacation destinations in California. I was in a car with a coupe of other people, but they were being quiet and there was no other noise other than the slight noise of the car.",Sometimes when I use it,,45-54,Woman,Yes,No,Rarely,Sometimes,White,"Mobile phone,Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
34,Understanding,No understanding,"I usually say Voice Assistant, what's the weather going to be today?",Voice Assistant said that it didn't understand my question. I had to ask several times before it seemed to understand what I was saying.,"Sometimes, Voice Assistant doesn't seem to understand when I ask for a weather forecast.",Sometimes when I use it,y,45-54,Woman,Yes,No,Rarely,Sometimes,White,"Mobile phone,Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
35,Attention,Spurious Trigger,I don't recall exactly.,It activated and offered to answer a question.,I was driving in a car with one other person.,Rarely when I use it,,25-34,Man,Yes,No,Rarely,Rarely,White,Mobile phone,,2-3 times a week
35,Understanding,Misunderstanding,"Voice Assistant, what's the weather forecast for here this week?",Received weather forecast for the wrong location,I asked for the local weather forecast,Rarely when I use it,,25-34,Man,Yes,No,Rarely,Rarely,White,Mobile phone,,2-3 times a week
36,Understanding,No understanding,Upcoming movies and theaters near me to watch.,Sorry I don't understand,I suppose to ask for new movies in the theatre around me.,About half the time I use it,,35-44,Woman,Yes,Maybe,About half the time I use it,About half the time I use it,Asian,Mobile phone,,Once a week
37,Response,Action execution: no action,"Voice Assistant, when does Shang-Chi come out in theatres?",[The lights spin and then went silent.],I was trying to find out when shang-chi was coming out and the light came on and started spinning and doing nothing,Rarely when I use it,y,25-34,Man,Yes,No,Rarely,Rarely,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
38,Response,Action execution: incorrect,I asked it to find a specific place.,"It gave directions, but they were wrong and not to the place I wanted to go.","I tried to get directions to a place, I was driving, it took me to a completely wrong place.",Sometimes when I use it,,55-64,Man,Yes,No,Sometimes,Sometimes,White,Mobile phone,,Daily
39,Attention,Missed Trigger,"Voice Assistant, switch on the music.",It remained silent.,Maybe I used an unclear command.,Sometimes when I use it,,45-54,Man,No,Maybe,About half the time I use it,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,4-6 times a week
40,Response,Action execution: incorrect,"Voice Assistant, cancel my 8am alarm.","It didn't cancel the alarm. Instead it told me that I am able to cancel alarms by going into my clock settings, which defeats the purpose of doing it via assistant.",I was in my room alone.,About half the time I use it,,25-34,Man,Yes,No,Sometimes,Sometimes,White,Mobile phone,,Daily
40,Response,Action execution: no action,"Voice Assistant, open spotify and play Jimi Hendrix.","It just said to me ""playing x on spotify"" I believe and it did not do anything besides open the program.",I was trying to get it to open an app for me. I was in the car and using it hands free.,Rarely when I use it,,25-34,Man,Yes,No,Sometimes,Sometimes,White,Mobile phone,,Daily
40,Perception,Noisy channel,"Voice Assistant, who sings the song that goes, ""We were just kids when we fell in love.""",It didn't give me an answer and instead pulled up a Voice Assistant search for some reason. I can't remember the content but it was unrelated.,"I was in the car and a song came on and I didn't know what the artist's name was, so I tried to look it up via lyrics.",Sometimes when I use it,,25-34,Man,Yes,No,Sometimes,Sometimes,White,Mobile phone,,Daily
40,Response,Action execution: incorrect,"Voice Assistant, can you cancel the 2 o'clock alarm?","""Ok, alarm cancelled."" [Voice Assistant cancels a different alarm than the 2:00 one requested.]",I was trying to cancel a specific alarm (such as for 2:00pm),Sometimes when I use it,y,25-34,Man,Yes,No,Sometimes,Sometimes,White,Mobile phone,,Daily
41,Understanding,Ambiguity,"Voice Assistant, confirm the appointment at 10.",Voice Assistant did it at 10 pm.,Appointment should be confirmed at 10 am.,Rarely when I use it,,35-44,Man,Yes,Maybe,Sometimes,Rarely,American Indian or Alaska Native,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
41,Perception,Transcription,I told Voice Assistant to call Moan.,She called Doan.,Voice Assistant failed to call the business client correctly.,Rarely when I use it,y,35-44,Man,Yes,Maybe,Sometimes,Rarely,American Indian or Alaska Native,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
42,Understanding,Misunderstanding,"Voice Assistant, play the podcast Serial.",It did play a true crime podcast but it played a completely different one.,I was sitting in my room and I asked if it would play the Serial podcast.,Sometimes when I use it,,45-54,Woman,Yes,No,Sometimes,Sometimes,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
